277,bobareune,,"canoe, vessel",,,
278,bobaso,o,k o traditional *song,,,
279,bobatingi,,limit,,,
280,bobato,,chief,,,
281,bobeleuru,,"oar, paddle",nautical,,
282,bobeoto,,palm wine,,,
283,bobero,,"growing, raising",,,
284,bobeto,,taunt,,,
285,bobeuleoko,,curve,,,
286,bobeuleta,,sago pounding,,,
287,bobeulianga,,taxes,,,
288,bobeurehe,,cover,,,
289,bobeureki,,old ones,,,
290,bobeureki,,spirit rice,,,
291,bobilango,,porcelain *plates,,,
292,bobilatu,,catch,,,
293,bobili,,shell *bracelet,,,
294,bobita,,"command, prohibition",,,
295,bobo,,heel,,,
296,boboko,,bamboo *lath,,,
297,bobolata,,bamboo filled with sago,,,
298,boboleha,,shell,,,
299,bobolen,,sandy,,,
300,bobolulunu,,round,,,
301,bobooca,,skin *ulcer,,,
302,boboro,,"palm, lontarpalm",,,
303,bobotara,,head sore,,,
304,boboto,,finish,,,
305,bobugo,,property stakes,,,
306,boburuha,,shawl,,,
307,bobutanga,,any *six,,,
308,bobuturungu,,strong,,,
309,bobututu,,pin,,,
310,boci,,groundnuts,,,
311,bodiga,,"disaster, misfortune",,,
312,bodiku,,"tie, binding",,,
313,bodito,,"misfortune, calamity",,,
314,bodo,,stupid,,,
315,boga-boga,,illness of *legs,,,
316,bohara,,refuse a request,,,
317,boheume,,k o edible *plant,,,
318,bohoko,o,pot,,,
319,bohono,,forbidden,,,
320,bohouko,,large ceramic *pot,,,
321,bohouro,,discontented,,,
322,boka,ho ma,wash (one's) clothes,,,
323,boka,ha,wash clothes (for s o),,,
324,boki,,princess,,,
325,boki,,cat,,,
326,boki-kokito,o,bird,animal,,
327,boko-boko,,sago baked in bamboo,,,
328,bokoto,,fist,,,
329,boku,,"hole, hollow",,,
330,bokumu,,pandanus *mat material,,,
331,bola,,ball,,,
332,bole,o,"sandbar, shoal",nautical,,
333,bole,o,banana,food,,
334,bole,i na,"tired, exhausted, weak",color,obole mahoka,green
335,bole-bole,ha,do *slowly,,,
336,bolitorongo,,trumpet,,,
337,boloi,i,more,,,
338,boloworeuki,,plant,,,
339,bolutu,,sleep,,,
340,bongo-bongo,,cane,,,
341,bongono,,wooden *hammer,,,
342,bongouno,,blunt,,,
343,bootu,,canoe *plank,,,
344,bootuke,,"tear, crack in rock",,,
345,bopoura,,bangs,,,
346,boraka,,lucky,,,
