273,bobilango,,porcelain *plates,
274,bobilatu,,catch,
275,bobili,,shell *bracelet,
276,bobita,,"command, prohibition",
277,bobo,,heel,
278,boboko,,bamboo *lath,
279,bobolata,,bamboo filled with sago,
280,boboleha,,shell,
281,bobolen,,sandy,
282,bobolulunu,,round,
283,bobooca,,skin *ulcer,
284,boboro,,"palm, lontarpalm",
285,bobotara,,head sore,
286,boboto,,finish,
287,bobugo,,property stakes,
288,boburuha,,shawl,
289,bobutanga,,any *six,
290,bobuturungu,,strong,
291,bobututu,,pin,
292,boci,,groundnuts,
293,bodiga,,"disaster, misfortune",
294,bodiku,,"tie, binding",
295,bodito,,"misfortune, calamity",
296,bodo,,stupid,
297,boga-boga,,illness of *legs,
298,bohara,,refuse a request,
299,boheume,,k o edible *plant,
300,bohoko,o,pot,
301,bohono,,forbidden,
302,bohouko,,large ceramic *pot,
303,bohouro,,discontented,
304,boka,ho ma,"wash (one's) clothes, wash clothes (for s o)",
305,boki,,princess,
306,boki,,cat,
307,boki-kokito,o,bird,animal
308,boko-boko,,sago baked in bamboo,
309,bokoto,,fist,
310,boku,,"hole, hollow",
311,bokumu,,pandanus *mat material,
312,bola,,ball,
313,bole,o,"sandbar, shoal",nautical
314,bole,o,"banana, tired, exhausted, weak",food
315,bole-bole,ha,do *slowly,
316,bolitorongo,,trumpet,
317,boloi,i,more,
318,boloworeuki,,plant,
319,bolutu,,sleep,
320,bongo-bongo,,cane,
321,bongono,,wooden *hammer,
322,bongouno,,blunt,
323,bootu,,canoe *plank,
324,bootuke,,"tear, crack in rock",
325,bopoura,,bangs,
326,boraka,,lucky,
327,borengo,,rope,
328,bori,,climbing *plant,
329,bori,,both,
330,boriri,,"*parrot, lorry",
331,boro,,fine repair of nets,
332,boro,,flower bud,
333,boroho,,"ulcer, boil",
334,boroho,,"slice, cut",
335,borohono,,fear,
336,borokata,ma,vow not to eat a certain food (usually the favorite food of a relative who has died,
337,boronga,,superficial *tear,
338,borotoka,o,plum,food
339,borowotiti,ho,hide in sarong fold,
340,boru,o,drill,
341,borua,o,"box, case",
342,bota,ma,"clothing, wrapper",
