273,bobeureki,,spirit rice,
274,bobilango,,porcelain plates,
275,bobilatu,,catch,
276,bobili,,shell bracelet,
277,bobita,,"command, prohibition",
278,bobo,,heel,
279,boboko,,bamboo lath,
280,bobolata,,bamboo filled with sago,
281,boboleha,,shell,
282,bobolen,,sandy,
283,bobolulunu,,round,
284,bobooca,,skin ulcer,
285,boboro,,"palm, lontarpalm",
286,bobotara,,head sore,
287,boboto,,finish,
288,bobugo,,property stakes,
289,boburuha,,shawl,
290,bobutanga,,any six,
291,bobuturungu,,strong,
292,bobututu,,pin,
293,boci,,groundnuts,
294,bodiga,,"disaster, misfortune",
295,bodiku,,"tie, binding",
296,bodito,,"misfortune, calamity",
297,bodo,,stupid,
298,boga-boga,,illness of legs,
299,bohara,,refuse a request,
300,boheume,,k o edible plant,
301,bohoko,o,pot,
302,bohono,,forbidden,
303,bohouko,,large ceramic pot,
304,bohouro,,discontented,
305,boka,ho ma,"wash (one's) clothes, wash clothes (for s o)",
306,boki,,princess,
307,boki,,cat,
308,boki-kokito,o,bird,animal
309,boko-boko,,sago baked in bamboo,
310,bokoto,,fist,
311,boku,,"hole, hollow",
312,bokumu,,pandanus mat material,
313,bola,,ball,
314,bole,o,"sandbar, shoal",nautical
315,bole,o,"banana, tired, exhausted, weak, green",food
316,bole-bole,ha,do slowly,
317,bolitorongo,,trumpet,
318,boloi,i,more,
319,boloworeuki,,plant,
320,bolutu,,sleep,
321,bongo-bongo,,cane,
322,bongono,,wooden hammer,
323,bongouno,,blunt,
324,bootu,,canoe plank,
325,bootuke,,"tear, crack in rock",
326,bopoura,,bangs,
327,boraka,,lucky,
328,borengo,,rope,
329,bori,,climbing plant,
330,bori,,both,
331,boriri,,"parrot, lorry",
332,boro,,fine repair of nets,
333,boro,,flower bud,
334,boroho,,"ulcer, boil",
335,boroho,,"slice, cut",
336,borohono,,fear,
337,borokata,ma,vow not to eat a certain food (usually the favorite food of a relative who has died,
338,boronga,,superficial tear,
339,borotoka,o,plum,food
340,borowotiti,ho,hide in sarong fold,
341,boru,o,drill,
342,borua,o,"box, case",
343,bota,ma,"clothing, wrapper, sock",
344,bote,PART,"sure, certainly",
345,boteani,,presently,
346,boteme,o,k o grain,food
347,botino,PART,"then, further, next",
348,boto,i,"past, done, completed, finished, I have done it",
349,boto-boto,o,k o grasshopper,animal
350,botue,ma,net to land fish,fishing
351,bou-lamo,o,civet cat,animal
352,bounu,ma,"smell, scent, stench",
353,buapong,o,k o millet,food
354,bubu,ha,to turn wood (by hand but as if on a lathe),
355,bubu,o,k o fish,fish
356,bubukunu,o,purchase price,
357,bubuutu,,"spike, bar",
358,budi,ho,"mislead, decieve, deception",
359,budi,o,"art, wisdom",
360,bugo,,"swelling, festering",
361,bugo,,mark o f ownership,
362,buhanga,,"span, linear measure",
363,buhengi,,"lazy, idle",
364,buho,,pandanus tree,
365,buho-buho,,lying in heaps,
366,buhuhu,,give birth,
367,buhuku,,"inlay, take away, align",
368,buku,,partially full,
369,buku,,knee,
370,bukuku,,kneel,
371,bukunu,ho ma,sell,
372,bula,,multiple,
373,bulana,,fish,
374,buli-buliruku,,"wobbly, displeasing",
375,bulu,,belt,
376,bululawa,,clove,
377,bululu,,short,
378,bululu,,round,
379,buluteute,,stripe,
380,bunga,,interest money,
381,buoto,,"bite, mouthfull",
382,bureure,,"fat, obese, thick",
383,buruhu,,"wet, soaking wet",
384,buruutu,,peel skin,
